lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,241409.8791521703,5156778.496682761,9.0,241409.47742869047,5156769.505652884,0.04463594220376103,0.9990033196459271,0.0,7140.0
217.0,241419.8687999567,5156778.05034055,9.0,241419.4670764848,5156769.059310673,0.04463594131968228,0.9990033196854282,0.0,7150.0
217.0,241429.85844774073,5156777.603998341,9.0,241429.4567242605,5156768.612968463,0.044635942249185115,0.9990033196438975,0.0,7160.0
217.0,241439.84809551606,5156777.157656136,9.0,241439.44637194418,5156768.166626263,0.04463595242959055,0.9990033191890322,0.0,7170.0
217.0,241449.8377433117,5156776.711313931,9.0,241449.43601983148,5156767.720284054,0.044635942249185115,0.9990033196438975,0.0,7180.0
217.0,241459.82739109767,5156776.26497172,9.0,241459.4256676258,5156767.273941843,0.04463594131968228,0.9990033196854282,0.0,7190.0
217.0,241469.8170388823,5156775.818629511,9.0,241469.41531540247,5156766.8275996335,0.04463594220376103,0.9990033196459271,0.0,7200.0
217.0,241479.80668666773,5156775.372287301,9.0,241479.4049631875,5156766.381257424,0.044635942249185115,0.9990033196438975,0.0,7210.0
217.0,241489.79633445275,5156774.92594509,9.0,241489.39461097252,5156765.934915213,0.044635942249185115,0.9990033196438975,0.0,7220.0
217.0,241499.78598222902,5156774.479602886,9.0,241499.38425866552,5156765.488573013,0.044635951500087714,0.9990033192305628,0.0,7230.0
217.0,241509.77563002374,5156774.033260681,9.0,241509.3739065435,5156765.0422308035,0.044635942249185115,0.9990033196438975,0.0,7240.0
217.0,241519.76527780876,5156773.586918471,9.0,241519.3635543285,5156764.595888594,0.04463594225048301,0.9990033196438396,0.0,7250.0
217.0,241529.75492559432,5156773.14057626,9.0,241529.35320211446,5156764.149546383,0.0446359422050587,0.9990033196458692,0.0,7260.0
217.0,241539.74457337975,5156772.694234051,9.0,241539.34284989952,5156763.703204174,0.044635942249185115,0.9990033196438975,0.0,7270.0
217.0,241549.73422116472,5156772.247891841,9.0,241549.3324976845,5156763.256861964,0.044635942249185115,0.9990033196438975,0.0,7280.0
217.0,241559.72386895027,5156771.80154963,9.0,241559.32214547042,5156762.810519753,0.0446359422050587,0.9990033196458692,0.0,7290.0
217.0,241569.71351672648,5156771.3552074265,9.0,241569.31179316257,5156762.364177553,0.04463595154421414,0.9990033192285912,0.0,7300.0
217.0,241579.70316452166,5156770.90886522,9.0,241579.30144104979,5156761.917835343,0.04463594131968228,0.9990033196854282,0.0,7310.0
217.0,241589.69281230628,5156770.4625230115,9.0,241589.29108882643,5156761.471493134,0.0446359422050587,0.9990033196458692,0.0,7320.0
217.0,241599.68246009172,5156770.0161808,9.0,241599.2807366115,5156761.025150923,0.044635942249185115,0.9990033196438975,0.0,7330.0
217.0,241609.67210787768,5156769.56983859,9.0,241609.2703844058,5156760.578808713,0.04463594131968228,0.9990033196854282,0.0,7340.0
217.0,241619.6617556623,5156769.123496382,9.0,241619.26003218247,5156760.132466504,0.04463594220376103,0.9990033196459271,0.0,7350.0
217.0,241629.65140344773,5156768.67715417,9.0,241629.2496799675,5156759.686124293,0.044635942249185115,0.9990033196438975,0.0,7360.0
